Zip Code,COUNT of Zip Code
90021,766
90015,569
90058,523
90011,330
90007,209
91733,203
90023,185
90014,174
94103,135
90040,124
96002,94
94538,92
94520,85
90001,79
92704,78
92843,77
90037,77
90670,76
90248,75
91710,71
90012,71
94080,70
91748,70
93030,69
91761,69
95624,67
95206,65
92705,63
91786,63
91730,62
90025,62
93637,61
92121,61
91746,61
90220,61
95205,59
92236,59
94066,58
94583,57
93003,57
92683,57
91706,56
92243,55
94550,54
94105,54
93662,54
93638,54
95112,53
94621,52
94110,52
95828,51
94107,51
90640,51
96080,50
96001,50
95240,50
92805,50
92703,50
92231,50
90003,50
95035,49
93308,49
92618,49
92335,49
90045,49
91745,48
91355,48
93722,47
92064,47
93257,46
92806,46
92801,46
91311,46
96003,45
95020,45
95008,45
92780,45
92626,45
95678,44
95661,44
95209,44
94577,44
94551,44
93654,44
95610,43
94545,43
92701,43
92691,43
92660,43
91605,43
90703,43
90027,43
90022,43
94587,42
92108,42
91352,42
91324,42
90061,42
90028,42
95054,41
94558,41
90650,41
90010,41
95608,40
94612,40
94588,40
93307,40
93010,40
92274,40
92101,40
95823,39
95688,39
95215,39
93274,39
92408,39
92020,39
90745,39
90013,39
90006,39
95825,38
95076,38
94111,38
94108,38
94010,38
92507,38
92504,38
92123,38
91766,38
90501,38
90250,38
90033,38
95670,37
94124,37
92804,37
92647,37
91950,37
91754,37
95821,36
93727,36
92867,36
92201,36
91731,36
90723,36
90255,36
95834,35
95630,35
94544,35
94533,35
93960,35
93908,35
93215,35
93033,35
92562,35
92126,35
92111,35
90017,35
94901,34
94102,34
92880,34
92870,34
92868,34
92821,34
92590,34
91911,34
91732,34
95814,33
95131,33
93534,33
92708,33
92627,33
92310,33
91790,33
91773,33
91763,33
90505,33
95742,32
94523,32
92879,32
92707,32
92025,32
91770,32
91744,32
91702,32
90620,32
94121,31
93277,31
92630,31
92503,31
92028,31
92021,31
91789,31
90680,31
90232,31
94607,30
94513,30
94509,30
93550,30
93458,30
93454,30
92376,30
92110,30
92029,30
91776,30
91402,30
90201,30
90004,30
95242,29
95207,29
95051,29
93901,29
92807,29
92612,29
92392,29
92337,29
91910,29
90621,29
95687,28
95125,28
94596,28
94590,28
93711,28
93631,28
93065,28
92882,28
92841,28
92345,28
90631,28
90064,28
90031,28
95991,27
95826,27
95815,27
95660,27
95110,27
93725,27
93657,27
93436,27
93012,27
92324,27
92260,27
91406,27
91342,27
91331,27
90660,27
90034,27
95827,26
95758,26
95747,26
94565,26
94043,26
94015,26
93706,26
92227,26
92102,26
92054,26
92008,26
91762,26
91344,26
91204,26
91203,26
91016,26
90221,26
95023,25
94801,25
94549,25
94403,25
94133,25
93630,25
93612,25
93455,25
93230,25
92840,25
92706,25
91767,25
91335,25
91303,25
91107,25
90401,25
90245,25
90038,25
90026,25
95301,24
95236,24
94903,24
94559,24
94401,24
94104,24
94086,24
92501,24
92311,24
92037,24
91740,24
91722,24
90048,24
90019,24
95841,23
95831,23
95628,23
95376,23
95037,23
94601,23
94598,23
94539,23
94087,23
93535,23
92307,23
92262,23
92173,23
91606,23
91360,23
90746,23
90046,23
95993,22
95822,22
95050,22
94560,22
94534,22
93618,22
93250,22
92154,22
92083,22
92071,22
92069,22
91711,22
90813,22
90280,22
90065,22
90039,22
90020,22
96007,21
95838,21
95829,21
95824,21
95691,21
95128,21
95123,21
94568,21
94536,21
94089,21
94063,21
93609,21
93446,21
93309,21
93291,21
93036,21
92553,21
92056,21
91768,21
91604,21
91601,21
91401,21
91362,21
91356,21
91343,21
91301,21
91011,21
90815,21
90807,21
90802,21
90744,21
90249,21
90069,21
90036,21
90035,21
90005,21
95482,20
95126,20
95124,20
94553,20
94109,20
93940,20
93647,20
93304,20
93203,20
92881,20
92802,20
92648,20
91977,20
91803,20
91709,20
91436,20
91367,20
91304,20
91105,20
90805,20
90755,20
90630,20
90241,20
90066,20
95762,19
95695,19
95603,19
95351,19
95210,19
95136,19
95122,19
95113,19
94541,19
94070,19
94040,19
93726,19
93721,19
93710,19
92649,19
92374,19
92250,19
92115,19
92113,19
91942,19
91752,19
91364,19
91321,19
91010,19
90638,19
90301,19
95776,18
95476,18
95403,18
95304,18
95134,18
95129,18
95127,18
95014,18
94952,18
94806,18
94710,18
94608,18
94501,18
94404,18
94115,18
93720,18
93648,18
93245,18
92865,18
92860,18
92675,18
92592,18
92395,18
92373,18
92249,18
92131,18
92027,18
91765,18
91764,18
91750,18
91403,18
91350,18
91205,18
90247,18
90230,18
90211,18
90210,18
90063,18
90029,18
95765,17
95621,17
95202,17
94566,17
94561,17
94526,17
94118,17
93906,17
93420,17
93312,17
93247,17
93063,17
92122,17
92024,17
91505,17
91405,17
90712,17
90601,17
90262,17
90242,17
95820,16
95648,16
95632,16
95407,16
95358,16
95118,16
95116,16
94128,16
94122,16
93926,16
93907,16
93704,16
93703,16
93536,16
93001,16
92831,16
92673,16
92509,16
92508,16
92346,16
92254,16
92117,16
92109,16
92026,16
92009,16
91423,16
91340,16
91007,16
91006,16
90067,16
90057,16
90044,16
90042,16
95901,15
95843,15
95662,15
95448,15
95354,15
95111,15
94606,15
94595,15
94591,15
94589,15
94564,15
94531,15
94123,15
93927,15
93912,15
93635,15
93625,15
93313,15
93021,15
93015,15
92844,15
92614,15
92543,15
92234,15
92105,15
92078,15
91701,15
91504,15
91411,15
91316,15
91101,15
91001,15
90503,15
90405,15
90291,15
90043,15
90016,15
95833,14
95816,14
95677,14
95380,14
95348,14
95340,14
95336,14
94945,14
94804,14
94597,14
94578,14
94085,14
94030,14
93955,14
93702,14
93551,14
93401,14
93263,14
93221,14
92886,14
92688,14
92544,14
92505,14
92130,14
92128,14
91801,14
91792,14
91791,14
91780,14
91361,14
91325,14
90806,14
90803,14
90731,14
90720,14
90605,14
90504,14
90212,14
90024,14
95030,13
94928,13
94521,13
94518,13
94014,13
94005,13
93728,13
93610,13
93234,13
93060,13
92869,13
92833,13
92677,13
92646,13
92571,13
92410,13
92404,13
92316,13
92065,13
92040,13
91607,13
91383,13
90810,13
90710,13
90404,13
90018,13
95928,12
95842,12
95757,12
95682,12
95350,12
95121,12
95120,12
94949,12
94602,12
94132,12
94025,12
94019,12
93930,12
93701,12
93292,12
93280,12
93210,12
92832,12
92663,12
92606,12
92570,12
92530,12
92399,12
92277,12
92223,12
92104,12
92103,12
92081,12
91724,12
91502,12
91320,12
91103,12
90303,12
90270,12
90059,12
90041,12
90032,12
90002,12
96022,11
96019,11
95401,11
95360,11
95356,11
95355,11
94510,11
94402,11
94112,11
93902,11
93723,11
93524,11
93305,11
93267,11
93013,11
92672,11
92653,11
92604,11
92545,11
92336,11
92240,11
92211,11
92120,11
91723,11
91306,11
91302,11
91206,11
91201,11
91104,11
90804,11
90706,11
90701,11
90304,11
95945,10
95818,10
95811,10
95667,10
95652,10
95620,10
95492,10
95368,10
95220,10
95212,10
95203,10
95148,10
94610,10
94605,10
94117,10
94061,10
94002,10
93615,10
93456,10
93301,10
92518,10
92354,10
92270,10
92014,10
91739,10
91351,10
90808,10
90292,10
90278,10
90277,10
90260,10
96021,9
95835,9
95746,9
95650,9
95472,9
95404,9
95366,9
95330,9
95307,9
94704,9
94306,9
94060,9
93905,9
93555,9
93514,9
93380,9
93306,9
93101,9
92883,9
92835,9
92629,9
92563,9
92394,9
92264,9
92253,9
92106,9
92084,9
91941,9
91384,9
91345,9
91202,9
91040,9
90606,9
90502,9
90302,9
90274,9
90266,9
90049,9
90008,9
96097,8
95953,8
95819,8
95690,8
95615,8
95370,8
95361,8
95117,8
95012,8
94615,8
94603,8
94116,8
94065,8
94041,8
93611,8
93437,8
93268,8
92866,8
92656,8
92595,8
92591,8
92583,8
92506,8
92407,8
92377,8
92308,8
92220,8
92203,8
92129,8
92082,8
92019,8
91214,8
91106,8
90623,8
90602,8
90254,8
90047,8
96150,7
96067,7
95616,7
95605,7
95219,7
95138,7
95135,7
95119,7
95062,7
94965,7
94954,7
94611,7
94609,7
94574,7
94546,7
94507,7
94134,7
94114,7
94083,7
93933,7
93705,7
93646,7
93422,7
93314,7
93311,7
93286,7
92887,7
92620,7
92405,7
92301,7
92278,7
92225,7
92127,7
92011,7
91945,7
91602,7
90717,7
90222,7
90071,7
90062,7
90052,7
96161,6
96130,6
95694,6
95521,6
95501,6
95451,6
95441,6
95363,6
95337,6
95334,6
95320,6
95204,6
95133,6
95077,6
95070,6
95060,6
94941,6
94931,6
94720,6
94619,6
94585,6
94563,6
94535,6
94503,6
94301,6
94127,6
93656,6
93640,6
93622,6
93620,6
93619,6
93444,6
93105,6
92782,6
92602,6
92584,6
92411,6
92116,6
92114,6
92057,6
91914,6
91901,6
91737,6
91210,6
90604,6
90603,6
90403,6
90079,6
90073,6
96073,5
95987,5
95864,5
95696,5
95693,5
95673,5
95612,5
95503,5
95422,5
95405,5
95357,5
95132,5
95066,5
95032,5
94706,5
94604,5
94580,5
94530,5
94506,5
94305,5
94303,5
93923,5
93639,5
93636,5
93614,5
93560,5
93510,5
93405,5
93270,5
93117,5
93066,5
93035,5
92610,5
92596,5
92557,5
92371,5
92352,5
92284,5
92276,5
92251,5
92230,5
92135,5
92107,5
92055,5
92036,5
92004,5
91978,5
91913,5
91902,5
91769,5
91506,5
91326,5
91307,5
90740,5
90713,5
90265,5
96093,4
95992,4
95973,4
95969,4
95965,4
95963,4
95949,4
95832,4
95817,4
95799,4
95640,4
95602,4
95567,4
95470,4
95453,4
95382,4
95367,4
95365,4
95341,4
95338,4
95258,4
95213,4
95201,4
95101,4
95004,4
94947,4
94703,4
94579,4
94556,4
94555,4
94547,4
94519,4
94188,4
94062,4
94044,4
94028,4
93465,4
93449,4
93447,4
93433,4
93241,4
93219,4
93040,4
93031,4
92878,4
92808,4
92661,4
92585,4
92532,4
92502,4
92401,4
92363,4
92344,4
92315,4
92061,4
92003,4
91935,4
91784,4
91775,4
91755,4
91390,4
91109,4
90275,4
90240,4
90077,4
90068,4
96160,3
96145,3
96101,3
95988,3
95959,3
95926,3
95837,3
95722,3
95669,3
95626,3
95551,3
95540,3
95461,3
95446,3
95437,3
95409,3
95406,3
95402,3
95377,3
95352,3
95333,3
95324,3
95303,3
95231,3
94709,3
94707,3
94599,3
94571,3
94517,3
94515,3
94514,3
94131,3
94035,3
94022,3
93772,3
93644,3
93584,3
93561,3
93543,3
93523,3
93505,3
93501,3
93460,3
93453,3
93445,3
93409,3
93258,3
93246,3
93235,3
93218,3
93216,3
93109,3
93108,3
93103,3
93041,3
93023,3
92651,3
92625,3
92589,3
92555,3
92551,3
92549,3
92368,3
92366,3
92356,3
92320,3
92313,3
92263,3
92257,3
92136,3
92118,3
92088,3
92051,3
92023,3
92010,3
91943,3
91932,3
91906,3
91741,3
91729,3
91714,3
91413,3
91354,3
91124,3
91066,3
91030,3
90509,3
90290,3
90095,3
90009,3
96099,2
96094,2
96058,2
96055,2
96049,2
95966,2
95961,2
95932,2
95927,2
95903,2
95899,2
95759,2
95655,2
95642,2
95633,2
95619,2
95618,2
95556,2
95490,2
95466,2
95458,2
95436,2
95431,2
95425,2
95388,2
95315,2
95313,2
95269,2
95241,2
95237,2
95234,2
95228,2
95192,2
95130,2
95073,2
95065,2
95046,2
95043,2
95039,2
95018,2
95010,2
95002,2
94960,2
94953,2
94951,2
94939,2
94803,2
94702,2
94618,2
94573,2
94572,2
94552,2
94543,2
94524,2
94502,2
94304,2
94158,2
94143,2
94129,2
94125,2
93962,2
93944,2
93921,2
93775,2
93745,2
93730,2
93673,2
93650,2
93624,2
93613,2
93546,2
93545,2
93461,2
93452,2
93451,2
93434,2
93427,2
93402,2
93390,2
93290,2
93275,2
93261,2
93256,2
93240,2
93232,2
93223,2
93220,2
93212,2
93206,2
93202,2
93199,2
93160,2
93140,2
93044,2
93042,2
93032,2
93016,2
93011,2
93006,2
93004,2
93002,2
92885,2
92877,2
92863,2
92822,2
92679,2
92662,2
92603,2
92593,2
92587,2
92586,2
92582,2
92572,2
92423,2
92415,2
92393,2
92369,2
92317,2
92255,2
92252,2
92233,2
92226,2
92182,2
92170,2
92152,2
92119,2
92086,2
92070,2
92058,2
91915,2
91785,2
91747,2
91734,2
91716,2
91715,2
91708,2
91608,2
91503,2
91392,2
91208,2
91125,2
91108,2
91024,2
91020,2
90814,2
90809,2
90801,2
90715,2
90305,2
90272,2
90094,2
90056,2
96127,1
96122,1
96114,1
96089,1
96023,1
96020,1
96008,1
95982,1
95967,1
95962,1
95955,1
95948,1
95922,1
95865,1
95812,1
95802,1
95798,1
95741,1
95726,1
95715,1
95713,1
95709,1
95697,1
95692,1
95674,1
95671,1
95666,1
95658,1
95645,1
95631,1
95627,1
95623,1
95611,1
95573,1
95570,1
95565,1
95547,1
95546,1
95519,1
95502,1
95497,1
95487,1
95485,1
95469,1
95468,1
95467,1
95460,1
95452,1
95449,1
95439,1
95435,1
95424,1
95415,1
95397,1
95391,1
95389,1
95386,1
95383,1
95381,1
95378,1
95372,1
95353,1
95344,1
95327,1
95326,1
95322,1
95321,1
95319,1
95317,1
95252,1
95249,1
95247,1
95173,1
95164,1
95161,1
95159,1
95139,1
95137,1
95061,1
95053,1
95021,1
95019,1
95003,1
95001,1
94999,1
94975,1
94974,1
94966,1
94964,1
94957,1
94955,1
94925,1
94920,1
94904,1
94820,1
94805,1
94708,1
94705,1
94701,1
94623,1
94620,1
94592,1
94582,1
94576,1
94562,1
94540,1
94516,1
94505,1
94295,1
94283,1
94101,1
94038,1
94026,1
94018,1
94016,1
94013,1
94011,1
93953,1
93943,1
93942,1
93928,1
93925,1
93922,1
93920,1
93915,1
93793,1
93786,1
93778,1
93777,1
93776,1
93750,1
93747,1
93729,1
93715,1
93709,1
93668,1
93666,1
93660,1
93651,1
93643,1
93634,1
93616,1
93599,1
93562,1
93552,1
93549,1
93531,1
93518,1
93517,1
93502,1
93463,1
93448,1
93442,1
93438,1
93432,1
93428,1
93424,1
93423,1
93406,1
93403,1
93389,1
93303,1
93279,1
93272,1
93271,1
93262,1
93251,1
93242,1
93239,1
93204,1
93201,1
93121,1
93067,1
93043,1
93022,1
93014,1
93009,1
92861,1
92846,1
92845,1
92842,1
92837,1
92834,1
92823,1
92816,1
92702,1
92694,1
92693,1
92690,1
92685,1
92680,1
92676,1
92674,1
92657,1
92655,1
92641,1
92637,1
92617,1
92581,1
92567,1
92556,1
92554,1
92552,1
92546,1
92539,1
92531,1
92522,1
92521,1
92514,1
92397,1
92391,1
92375,1
92357,1
92347,1
92328,1
92325,1
92321,1
92292,1
92286,1
92283,1
92281,1
92267,1
92261,1
92248,1
92247,1
92244,1
92239,1
92232,1
92222,1
92199,1
92196,1
92186,1
92178,1
92172,1
92164,1
92163,1
92160,1
92158,1
92145,1
92143,1
92139,1
92132,1
92112,1
92093,1
92075,1
92059,1
92046,1
92039,1
92033,1
92022,1
91951,1
91788,1
91758,1
91756,1
91610,1
91521,1
91508,1
91501,1
91426,1
91404,1
91394,1
91387,1
91381,1
91380,1
91377,1
91376,1
91372,1
91365,1
91341,1
91330,1
91329,1
91328,1
91322,1
91313,1
91207,1
91102,1
91042,1
91021,1
91008,1
90844,1
90840,1
90749,1
90716,1
90714,1
90704,1
90671,1
90632,1
90506,1
90402,1
90239,1
90202,1
90055,1
90054,1
90053,1
80110,1